ID,ID_PRODUCT,AMOUNT,PRICE,DATE
1,1,18,55.74,'2023-01-17 13:41:04'
2,2,14,41.27,'2025-01-17 13:41:04'
3,3,12,71.25,'2023-02-28 13:41:04'
4,1,7,23.05,'2022-11-03 13:41:04'
5,3,5,32.38,'2021-07-09 13:41:04'
6,2,16,87.81,'2024-04-15 13:41:04'
7,1,1,34.28,'2023-04-18 13:41:04'
8,1,15,29.47,'2020-09-03 13:41:04'
9,1,20,114.07,'2020-06-02 13:41:04'
10,1,17,90.94,'2022-04-17 13:41:04'
11,1,6,68.71,'2022-07-24 13:41:04'
12,1,16,97.77,'2023-10-05 13:41:04'
13,3,3,58.95,'2024-04-03 13:41:04'
14,3,8,101.2,'2021-06-13 13:41:04'
15,3,3,103.87,'2020-12-09 13:41:04'
16,2,15,78.26,'2024-08-07 13:41:04'
17,3,5,56.19,'2022-11-14 13:41:04'
18,1,3,41.19,'2024-02-19 13:41:04'
19,1,13,43.06,'2022-09-16 13:41:04'
20,1,16,35.04,'2022-05-06 13:41:04'
21,1,9,115.0,'2024-01-02 13:41:04'
22,2,11,119.73,'2023-04-30 13:41:04'
23,2,20,67.71,'2024-12-13 13:41:04'
24,3,12,57.95,'2023-05-29 13:41:04'
25,3,17,85.03,'2022-11-12 13:41:04'
26,2,2,66.61,'2022-10-10 13:41:04'
27,1,19,32.67,'2022-10-27 13:41:04'
28,3,5,95.94,'2020-09-10 13:41:04'
29,3,6,48.52,'2020-12-25 13:41:04'
30,1,20,48.62,'2021-01-23 13:41:04'
31,2,2,62.77,'2024-09-18 13:41:04'
32,3,17,114.93,'2022-09-12 13:41:04'
33,3,9,81.73,'2021-12-08 13:41:04'
34,1,4,101.89,'2022-07-14 13:41:04'
35,3,18,42.58,'2020-12-09 13:41:04'
36,2,9,44.55,'2022-03-01 13:41:04'
37,3,14,86.88,'2020-11-05 13:41:04'
38,3,13,101.32,'2022-04-23 13:41:04'
39,1,13,60.93,'2021-08-14 13:41:04'
40,1,12,78.18,'2020-04-15 13:41:04'
41,1,3,103.7,'2022-01-26 13:41:04'
42,2,8,102.14,'2022-04-26 13:41:04'
43,3,17,116.16,'2024-07-01 13:41:04'
44,3,3,78.88,'2024-01-04 13:41:04'
45,2,2,58.08,'2020-04-03 13:41:04'
46,3,10,43.97,'2024-01-18 13:41:04'
47,2,16,24.78,'2025-01-10 13:41:04'
48,3,11,94.68,'2020-09-30 13:41:04'
49,2,6,66.99,'2020-09-06 13:41:04'
50,3,9,110.01,'2024-12-18 13:41:04'
51,2,16,29.08,'2022-07-28 13:41:04'
52,1,5,23.51,'2020-05-18 13:41:04'
53,3,6,112.61,'2024-03-27 13:41:04'
54,3,5,22.91,'2021-09-25 13:41:04'
55,1,12,117.76,'2020-07-26 13:41:04'
56,2,19,95.44,'2020-08-12 13:41:04'
57,3,8,95.26,'2023-10-20 13:41:04'
58,1,19,72.29,'2023-01-11 13:41:04'
59,2,15,38.99,'2023-04-10 13:41:04'
60,3,5,91.06,'2022-12-10 13:41:04'
61,2,17,80.32,'2024-03-29 13:41:04'
62,2,7,95.4,'2021-01-08 13:41:04'
63,3,10,35.23,'2024-06-27 13:41:04'
64,2,11,31.61,'2022-07-20 13:41:04'
65,2,13,49.79,'2020-11-23 13:41:04'
66,1,3,87.3,'2024-03-22 13:41:04'
67,2,9,111.05,'2021-03-03 13:41:04'
68,3,7,37.93,'2024-09-08 13:41:04'
